School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
Grinnell^*,7-0-1,11-3-5,22,.938,.711,L1,5-2-5,6-1,0-0
Lake Forest*,7-1,11-5-3,21,.875,.658,L2,6-2-1,5-2-2,0-1
Beloit*,6-2,9-4-3,18,.750,.656,T1,4-1-2,4-3-1,1-0
Cornell College*,3-3-2,4-13-3,11,.500,.275,L2,2-5-2,2-8-1,0-0
Lawrence,3-4-1,8-9-1,10,.438,.472,T1,4-4,4-5-1,0-0
Illinois Col.,2-5-1,2-13-2,7,.312,.176,W2,1-7,1-5-2,0-1
Knox,1-4-3,1-11-3,6,.312,.167,L2,1-4-1,0-7-2,0-0
Ripon,1-6-1,4-11-3,4,.188,.306,L1,1-6-3,3-5,0-0
Monmouth (IL),0-5-3,3-10-3,3,.188,.281,T2,0-5-2,3-5-1,0-0
