School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
Lake Forest*^,7-0-1,11-4-5,22,.938,.675,L1,6-1-3,5-3-2,0-0
Grinnell*,5-0-3,10-4-5,18,.812,.658,L1,5-2-2,4-2-3,1-0
Lawrence*,5-1-2,6-6-4,17,.750,.500,L1,3-3-2,3-2-2,0-1
Beloit*,4-1-3,5-9-5,15,.688,.395,L1,4-2-3,1-7-2,0-0
Monmouth (IL),3-4-1,5-8-3,10,.438,.406,L1,3-3-2,2-5-1,0-0
Illinois Col.,2-4-2,7-9-2,8,.375,.444,L1,5-4-1,2-5-1,0-0
Ripon,2-5-1,8-6-3,7,.312,.559,W2,6-3-2,2-3-1,0-0
Cornell College,1-7,1-10-3,3,.125,.179,L4,1-6-2,0-4-1,0-0
Knox,0-7-1,0-15-1,1,.062,.031,L5,0-7,0-8-1,0-0
