School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
Lake Forest*^,7-0-1,14-3-3,22,.938,.775,L1,9-2,5-1-3,0-0
Lawrence*^,7-0-1,15-5-2,22,.938,.727,L1,5-2-2,9-2,1-1
Grinnell*,5-2-1,8-6-3,16,.688,.559,L2,6-3,2-2-3,0-1
Beloit*,4-3-1,5-11-3,13,.562,.342,L1,2-4-1,3-7-2,0-0
Monmouth (IL),3-3-2,5-8-4,11,.500,.412,T1,3-4-2,2-4-2,0-0
Illinois Col.,2-4-2,10-6-3,8,.375,.605,L1,4-4-2,6-2-1,0-0
Ripon,1-6-1,5-11-3,4,.188,.342,W1,3-5,2-6-3,0-0
Cornell College,1-6-1,2-13-1,4,.188,.156,L2,2-5,0-7-1,0-1
Knox,0-6-2,1-13-3,2,.125,.147,L1,1-6-3,0-7,0-0
