School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lake Forest,0-0,.000,4-0-1,.900,W1,3-0,1-0-1,0-0
Knox,0-0,.000,1-1,.500,L1,1-0,0-1,0-0
Ripon,0-0,.000,1-2-1,.375,T1,1-1-1,0-1,0-0
Illinois Col.,0-0,.000,1-5,.167,L5,1-2,0-3,0-0
Cornell College,0-0,.000,0-0,.000,,0-0,0-0,0-0
