School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
St. Norbert College*#^,7-0-2,12-4-3,23,.889,.711,T2,6-0-3,6-4,0-0
Knox*#,7-0-2,14-6-2,23,.889,.682,L1,7-3,5-2-2,2-1
Grinnell*,6-3,10-8,18,.667,.556,L1,6-3,4-4,0-1
Monmouth (IL)*,6-3,11-8-1,18,.667,.575,L1,6-3,5-4-1,0-1
Lake Forest,5-2-2,7-8-2,17,.667,.471,W3,4-4-1,3-2-1,0-2
Ripon,4-5,10-7,12,.444,.588,L1,6-3,4-4,0-0
Cornell College,4-5,5-14,12,.444,.263,W2,1-6,4-8,0-0
Beloit,2-7,6-12,6,.222,.333,W2,4-7,2-5,0-0
Illinois Col.,1-8,3-16,3,.111,.158,L8,1-8,2-8,0-0
Lawrence,0-9,2-16,0,.000,.111,L6,2-7,0-9,0-0
