School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
Knox*#,9-0,19-1-1,27,1.000,.929,L1,11-0,7-1-1,1-0
Lake Forest*,6-2-1,10-7-2,19,.722,.579,T1,4-5-1,6-2,0-0-1
Grinnell*,6-2-1,9-7-3,19,.722,.553,L1,3-4,6-3-2,0-0-1
St. Norbert College*,5-3-1,9-8-1,16,.611,.528,L3,5-3-1,4-5,0-0
Ripon,5-3-1,14-3-1,16,.611,.806,L1,8-1,6-2-1,0-0
Illinois Col.,5-4,8-9-1,15,.556,.472,W1,4-3,4-6-1,0-0
Monmouth (IL),3-6,7-9-2,9,.333,.444,W1,2-5-1,5-4-1,0-0
Beloit,2-6-1,4-9-1,7,.278,.321,T1,1-4-1,3-5,0-0
Cornell College,1-8,3-15,3,.111,.167,L4,3-7,0-8,0-0
Lawrence,0-8-1,1-14-1,1,.056,.094,T1,0-6,1-4-1,0-4
