School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
Knox^*,8-0,11-7-1,24,1.000,.605,L1,5-4-1,6-3,0-0
Lake Forest*,6-1-1,9-7-1,19,.812,.559,L1,4-3-1,5-3,0-1
Beloit*,4-1-3,9-5-5,15,.688,.605,L1,6-1-1,2-4-4,1-0
Lawrence*,5-3,11-7-1,15,.625,.605,L1,4-5-1,7-2,0-0
Monmouth (IL),4-3-1,5-11-1,13,.562,.324,L1,2-5-1,3-6,0-0
Grinnell,2-4-2,3-12-2,8,.375,.235,L1,3-6,0-6-2,0-0
Cornell College,2-5-1,7-11-1,7,.312,.395,L2,5-6-1,2-5,0-0
Illinois Col.,1-7,3-14,3,.125,.176,W1,2-6,1-7,0-1
Ripon,0-8,0-17-1,0,.000,.028,L12,0-9-1,0-8,0-0
