Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
2/24/2019,vs,U of St. Thomas,L,0-9,6.0,13,9,8,4,4,3,3,0,1,0,0,0,0,1,0,9.33
2/24/2019,vs,UW-Stout,L,6-12,6.0,14,12,12,5,2,3,0,0,2,0,0,0,0,2,0,14.0
3/17/2019,vs,Springfield,L,6-10,6.0,14,10,10,1,0,0,3,0,0,0,0,0,0,3,0,11.67
3/17/2019,vs,St. Joseph's (L.I.),L,7-10,7.0,11,10,6,11,9,0,2,0,1,0,1,0,0,4,0,6.0
3/18/2019,vs,Bowdoin,L,6-14,5.0,17,14,13,1,1,7,0,1,1,0,0,0,0,5,0,18.2
3/18/2019,vs,Tufts University,L,0-8,4.0,14,8,8,0,2,7,0,0,0,0,1,0,0,6,0,14.0
3/19/2019,vs,Calvin College,L,0-15,5.0,18,15,9,3,3,7,0,1,1,0,0,0,0,7,0,12.6
3/19/2019,vs,Benedictine (Ill.),L,0-8,5.1,8,8,7,7,4,4,0,0,4,0,0,0,0,8,0,9.19
3/21/2019,vs,Concordia Univ.-Wis.,L,3-4,6.0,13,4,3,0,2,2,0,2,0,0,0,0,0,9,0,3.5
3/21/2019,vs,Marian Univ.,L,1-10,5.0,7,10,6,6,8,0,1,0,1,0,1,0,0,10,0,8.4
3/22/2019,vs,Rowan University,W,5-4,8.0,6,4,1,4,4,1,0,0,4,0,0,0,1,10,0,0.88
3/22/2019,vs,Rutgers-Newark,W,5-3,7.0,5,3,1,3,2,0,1,0,0,0,0,0,2,10,0,1.0
3/26/2019,at,Loras,L,0-10,4.0,12,10,9,3,3,1,0,0,1,0,0,0,2,11,0,15.75
3/26/2019,at,Loras,L,6-9,6.0,10,9,6,3,1,1,0,1,0,0,0,0,2,12,0,7.0
3/28/2019,at,Buena Vista Univ.,L,2-4,6.0,5,4,2,5,6,2,0,0,1,0,0,0,2,13,0,2.33
3/28/2019,at,Buena Vista Univ.,L,1-9,4.1,11,9,5,3,1,3,0,0,0,0,0,0,2,14,0,8.08
3/31/2019,,Wis.-Stevens Point,L,4-5,7.0,9,5,5,6,0,2,0,0,1,0,1,0,2,15,0,5.0
3/31/2019,,Wis.-Stevens Point,W,12-7,7.0,10,7,6,3,5,2,0,0,1,0,0,0,3,15,0,6.0
4/6/2019,,Lake Forest,W,5-3,7.0,6,3,2,0,1,0,0,0,1,0,0,0,4,15,0,2.0
4/6/2019,,Lake Forest,L,3-5,7.0,8,5,4,2,2,1,1,1,0,0,2,0,4,16,0,4.0
4/7/2019,,Beloit College,W,6-4,7.0,9,4,3,3,2,0,0,0,0,0,0,0,5,16,0,3.0
4/7/2019,,Beloit,W,10-1,5.0,6,1,1,1,5,0,0,0,0,0,0,0,6,16,0,1.4
4/13/2019,vs,St. Norbert,L,5-9,6.0,13,9,9,2,6,6,0,2,3,0,0,0,6,17,0,10.5
4/13/2019,vs,St. Norbert,W,8-5,7.0,8,5,5,1,1,3,0,0,1,0,0,0,7,17,0,5.0
4/16/2019,at,Cornell College,W,5-4,7.0,13,4,4,2,8,2,0,0,0,0,0,0,8,17,0,4.0
4/16/2019,at,Cornell College,W,4-2,7.0,8,2,0,0,2,0,0,0,0,0,0,0,9,17,0,0.0
4/19/2019,at,Illinois College,L,1-9,4.0,12,9,7,3,3,1,0,0,0,0,0,0,9,18,0,12.25
4/19/2019,at,Illinois College,L,2-11,4.0,11,11,6,2,2,0,2,0,0,0,0,0,9,19,0,10.5
4/20/2019,,Knox,W,10-0,5.0,4,0,0,1,6,0,0,0,1,0,0,0,10,19,0,0.0
4/20/2019,,Knox,W,13-7,7.0,8,7,6,3,1,3,0,0,0,0,1,0,11,19,0,6.0
4/23/2019,at,Simpson,W,9-1,6.0,3,1,1,1,3,0,1,1,0,0,0,0,12,19,0,1.17
4/23/2019,at,Simpson,W,6-2,7.0,4,2,2,5,2,1,0,1,0,0,0,0,13,19,0,2.0
4/24/2019,,Monmouth (Ill.),W,6-1,7.0,9,1,1,3,5,0,0,0,0,0,0,0,14,19,0,1.0
4/24/2019,,Monmouth (Ill.),W,2-1,7.0,8,1,1,0,3,0,0,0,0,0,1,0,15,19,0,1.0
4/26/2019,vs,Ripon,W,6-4,7.0,6,4,2,4,9,2,0,0,0,0,0,0,16,19,0,2.0
4/26/2019,vs,Ripon,W,21-17,7.0,16,17,14,4,12,0,0,7,0,0,0,0,17,19,0,14.0
4/28/2019,at,Lawrence University,L,1-3,6.0,4,3,3,3,3,1,0,1,0,0,0,0,17,20,0,3.5
4/28/2019,at,Lawrence University,W,12-2,6.0,8,2,1,2,1,2,0,0,0,0,0,1,18,20,0,1.17
5/3/2019,vs,Lake Forest,L,3-7,6.0,9,7,7,5,6,2,0,2,0,0,1,0,18,21,0,8.17
5/3/2019,vs,Illinois College,W,1-0,7.0,2,0,0,2,4,0,0,0,0,0,0,0,19,21,0,0.0
5/4/2019,vs,St. Norbert,L,6-8,6.0,9,8,7,5,5,4,0,0,2,0,0,0,19,22,0,8.17
Total,,,,209-257,249.2,381,257,203,122,149,73,14,20,27,0,9,1,19,22,0,
