Statistic,High,Player,Opponent
AT BATS,6,L. Bishop-Pa,Ripon (4/26/2019)
RUNS SCORED,4,M. Matsubara,Ripon (4/26/2019)
HITS,5,M. Matsubara,Ripon (4/26/2019)
RBIS,5,D. Wheeler,Wis.-Stevens Point (3/31/2019)
DOUBLES,3,A. Wehrenber; M. Matsubara,Knox (4/20/2019); Ripon (4/26/2019)
TRIPLES,1,Darice Wheeler; M. Matsubara; Emily Jordan; Mya Davis,St. Joseph's (L.I.) (3/17/2019); Beloit (4/7/2019); Beloit College (4/7/2019); UW-Stout (2/24/2019); Springfield (3/17/2019)
HOME RUNS,2,D. Wheeler,Beloit (4/7/2019); Ripon (4/26/2019)
WALKS,4,A. Wehrenber; D. Wheeler,Wis.-Stevens Point (3/31/2019); Lake Forest (4/6/2019)
STRIKEOUTS,3,Lily Seibert; Leila Bishop-Parise; Mya Davis,Rutgers-Newark (3/22/2019); Illinois College (5/3/2019); Concordia Univ.-Wis. (3/21/2019); Cornell College (4/16/2019)
SAC HITS,1,Sidney Litke; L. Bishop-Pa; Flynn Johnson,Bowdoin (3/18/2019); Marian Univ. (3/21/2019); Rutgers-Newark (3/22/2019); Wis.-Stevens Point (3/31/2019); Wis.-Stevens Point (3/31/2019)
SAC FLIES,1,Flynn Johnson; D. Wheeler; Mya Davis; M. Davis; A. Wehrenber,St. Joseph's (L.I.) (3/17/2019); Wis.-Stevens Point (3/31/2019); Wis.-Stevens Point (3/31/2019); Lake Forest (4/6/2019); Knox (4/20/2019)
STOLEN BASES,3,L. Bishop-Pa; Leila Bishop-Parise,Wis.-Stevens Point (3/31/2019); Cornell College (4/16/2019)
HIT BY PITCH,2,E. Jordan,Knox (4/20/2019)
CAUGHT STEALING,2,S. Litke,Beloit (4/7/2019)
HIT INTO DP,1,A. Wehrenber; Maddie Matsubara; M. Matsubara; Sidney Litke; F. Johnson,Lake Forest (4/6/2019); Beloit College (4/7/2019); Monmouth (Ill.) (4/24/2019); Benedictine (Ill.) (3/19/2019); St. Norbert (4/13/2019)
