Statistic,High,Opponent
INNINGS PITCHED,8.0,Rowan University (3/22/2019)
RUNS ALLOWED,17.0,Ripon (4/26/2019)
EARNED RUNS,14.0,Ripon (4/26/2019)
WALKS ALLOWED,11.0,St. Joseph's (L.I.) (3/17/2019)
STRIKEOUTS,12.0,Ripon (4/26/2019)
HITS ALLOWED,18.0,Calvin College (3/19/2019)
DOUBLES ALLOWED,7.0,Bowdoin (3/18/2019); Calvin College (3/19/2019); Tufts University (3/18/2019)
TRIPLES ALLOWED,3.0,U of St. Thomas (2/24/2019); Springfield (3/17/2019)
HOME RUNS ALLOWED,7.0,Ripon (4/26/2019)
WILD PITCHES,4.0,Benedictine (Ill.) (3/19/2019); Rowan University (3/22/2019)
HIT BATTERS,2.0,Lake Forest (4/6/2019)
