Player,Longest,Current
"Matsubara, Maddie",11,11
"Wheeler, Darice",10,4
"Davis, Mya",9,1
"Bishop-Parise, Leila",8,2
"Wehrenberg, Ashley",7,4
"Jordan, Emily",6,-
"Murphy, Mikyla",6,-
"Seibert, Lily",5,-
"Litke, Sidney",5,1
"Johnson, Flynn",5,-
"Adams, Elle",2,-
"Gardner, Megan",2,1
"Thomson, Abigail",1,-
"Hoffman, Haley",1,-
