Player,Longest,Current
"Matsubara, Maddie",11,11
"Davis, Mya",9,1
"Wheeler, Darice",6,4
"Seibert, Lily",5,-
"Bishop-Parise, Leila",5,2
"Wehrenberg, Ashley",5,4
"Jordan, Emily",4,-
"Johnson, Flynn",4,-
"Murphy, Mikyla",3,-
"Litke, Sidney",2,1
"Gardner, Megan",2,1
"Adams, Elle",1,-
"Hoffman, Haley",1,-
