Player,2,3,4,5+,Total
"Matsubara, Maddie",15,3,2,1,21
"Davis, Mya",13,1,1,-,15
"Bishop-Parise, Leila",11,1,1,-,13
"Jordan, Emily",8,1,-,-,9
"Wheeler, Darice",5,4,-,-,9
"Wehrenberg, Ashley",7,-,1,-,8
"Johnson, Flynn",3,2,-,-,5
"Seibert, Lily",4,-,-,-,4
"Murphy, Mikyla",3,-,-,-,3
"Litke, Sidney",3,-,-,-,3
"Gardner, Megan",2,-,-,-,2
TEAM,74,12,5,1,92
