Statistic,High,Player,Opponent
PUTOUTS,14,Flynn Johnson,Wis.-Stevens Point (3/31/2019)
ASSISTS,6,Maddie Matsubara,Wis.-Stevens Point (3/31/2019)
ERRORS,3,Flynn Johnson,Loras (3/26/2019)
PASSED BALLS,1,Emily Jordan; M. Gardner,Calvin College (3/19/2019); Marian Univ. (3/21/2019); Beloit (4/7/2019); Beloit College (4/7/2019); Tufts University (3/18/2019)
DPS TURNED,1,Maddie Matsubara; Leila Bishop-Parise; A. Wehrenber; M. Matsubara,St. Joseph's (L.I.) (3/17/2019); Bowdoin (3/18/2019); Lake Forest (4/6/2019); Monmouth (Ill.) (4/24/2019); Monmouth (Ill.) (4/24/2019)
