Statistic,High,Player,Opponent
INNINGS PITCHED,8.0,Wheeler,Rowan University (3/22/2019)
RUNS ALLOWED,14.0,Elle Adams,Bowdoin (3/18/2019)
EARNED RUNS,13.0,Elle Adams,Bowdoin (3/18/2019)
WALKS ALLOWED,6.0,Darice Wheeler,Benedictine (Ill.) (3/19/2019)
STRIKEOUTS,9.0,D. Wheeler,Ripon (4/26/2019); Ripon (4/26/2019)
HITS ALLOWED,17.0,Elle Adams,Bowdoin (3/18/2019)
DOUBLES ALLOWED,7.0,Elle Adams; Maddie Draper,Bowdoin (3/18/2019); Calvin College (3/19/2019); Tufts University (3/18/2019)
TRIPLES ALLOWED,2.0,Darice Wheeler; Maddie Draper; Elle Adams,St. Joseph's (L.I.) (3/17/2019); Springfield (3/17/2019); Illinois College (4/19/2019)
HOME RUNS ALLOWED,4.0,E. Adams,Ripon (4/26/2019)
WILD PITCHES,4.0,Darice Wheeler; Wheeler,Benedictine (Ill.) (3/19/2019); Rowan University (3/22/2019)
HIT BATTERS,2.0,E. Adams,Lake Forest (4/6/2019)
