Statistic,High,Opponent
AT BATS,47,Ripon (4/26/2019)
RUNS SCORED,21,Ripon (4/26/2019)
HITS,23,Ripon (4/26/2019)
RBIS,18,Ripon (4/26/2019)
DOUBLES,6,Ripon (4/26/2019)
TRIPLES,2,Springfield (3/17/2019)
HOME RUNS,3,Ripon (4/26/2019)
WALKS,10,Wis.-Stevens Point (3/31/2019)
STRIKEOUTS,10,Rowan University (3/22/2019)
SAC HITS,2,Lake Forest (4/6/2019)
SAC FLIES,2,St. Joseph's (L.I.) (3/17/2019)
STOLEN BASES,6,Wis.-Stevens Point (3/31/2019)
HIT BY PITCH,3,Knox (4/20/2019)
CAUGHT STEALING,2,Beloit (4/7/2019); Buena Vista Univ. (3/28/2019)
HIT INTO DP,1,Lake Forest (4/6/2019); Beloit College (4/7/2019); Monmouth (Ill.) (4/24/2019); Benedictine (Ill.) (3/19/2019); St. Norbert (4/13/2019)
