#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
21.0,"Gardner, Megan 21 Gardner, Megan",0.667,1.334,2-1,3,2,2,0,0,0,1,2,0.667,0,0,0,0,0.667,0,0,0-0,View Bio
10.0,"Murphy, Mikyla 10 Murphy, Mikyla",0.5,1.125,6-2,8,2,4,1,0,0,4,5,0.625,0,0,0,0,0.5,0,0,0-0,View Bio
12.0,"Matsubara, Maddie 12Matsubara, Maddie",0.492,1.325,18-18,63,22,31,8,3,2,10,51,0.81,3,0,0,1,0.515,0,1,4-4,View Bio
15.0,"Davis, Mya 15 Davis, Mya",0.458,1.264,18-18,59,15,27,8,1,3,19,46,0.78,4,0,3,0,0.484,1,0,1-1,View Bio
19.0,"Wheeler, Darice 19 Wheeler, Darice",0.413,1.593,18-17,46,18,19,4,0,8,22,47,1.022,17,0,7,0,0.571,0,0,6-6,View Bio
9.0,"Wehrenberg, Ashley 9 Wehrenberg, Ashley",0.306,0.794,18-18,49,11,15,5,0,0,12,20,0.408,7,0,3,0,0.386,1,3,5-5,View Bio
8.0,"Bishop-Parise, Leila 8 Bishop-Parise, Leila",0.281,0.647,17-16,57,16,16,1,0,0,8,17,0.298,5,1,3,0,0.349,0,0,8-8,View Bio
6.0,"Seibert, Lily 6 Seibert, Lily",0.279,0.842,18-18,43,10,12,6,0,1,6,21,0.488,3,2,14,0,0.354,0,0,1-1,View Bio
7.0,"Jordan, Emily 7 Jordan, Emily",0.25,0.627,18-18,56,11,14,3,1,0,13,19,0.339,1,2,5,0,0.288,0,1,1-2,View Bio
20.0,"Johnson, Flynn 20 Johnson, Flynn",0.233,0.533,17-16,43,5,10,1,0,0,4,11,0.256,3,0,2,1,0.277,1,3,0-0,View Bio
11.0,"Litke, Sidney 11 Litke, Sidney",0.191,0.489,18-18,47,6,9,2,0,0,4,11,0.234,4,0,8,0,0.255,0,1,1-3,View Bio
4.0,"Thomson, Abigail 4 Thomson, Abigail",0.0,0.2,3-2,4,1,0,0,0,0,0,0,0.0,1,0,0,0,0.2,0,0,0-0,View Bio
14.0,"Hoffman, Haley 14 Hoffman, Haley",0.0,0.0,3-0,2,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
17.0,"Draper, Maddie 17Draper, Maddie",0.0,0.0,12-9,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
1.0,"Adams, Elle 1Adams, Elle",0.0,0.0,11-8,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
,Totals,0.331,0.915,18-18,481,120,159,39,5,14,103,250,0.52,48,5,46,2,0.395,3,9,27-30,
,Opponents,0.315,0.799,18-18,499,88,157,21,3,11,80,217,0.435,36,4,72,2,0.364,2,11,17-22,
