#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
12,"Matsubara, Maddie 12 Matsubara, Maddie",0.463,1.178,39-39,136,38,63,15,4,3,17,95,0.699,4,0,3,1,0.479,0,1,9-9,View Bio
19/18,"Wheeler, Darice 19/18 Wheeler, Darice",0.411,1.486,38-36,95,34,39,9,2,13,39,91,0.958,26,0,20,0,0.528,2,0,11-13,View Bio
15,"Davis, Mya 15 Davis, Mya",0.392,1.05,41-41,120,20,47,11,2,4,33,74,0.617,11,0,11,0,0.433,3,0,2-2,View Bio
9,"Wehrenberg, Ashley 9 Wehrenberg, Ashley",0.321,0.825,41-41,112,20,36,8,0,1,22,47,0.42,15,2,11,0,0.405,2,4,8-8,View Bio
8,"Bishop-Parise, Leila 8 Bishop-Parise, Leila",0.302,0.736,40-39,129,33,39,3,2,0,14,46,0.357,14,2,14,0,0.379,0,1,19-19,View Bio
7,"Jordan, Emily 7 Jordan, Emily",0.256,0.637,39-39,117,15,30,6,1,1,22,41,0.35,3,2,14,0,0.287,0,2,2-4,View Bio
20,"Johnson, Flynn 20 Johnson, Flynn",0.25,0.592,38-37,96,9,24,2,0,0,10,26,0.271,10,1,6,1,0.321,2,4,3-3,View Bio
11,"Litke, Sidney 11 Litke, Sidney",0.178,0.5,41-41,107,13,19,3,1,1,8,27,0.252,10,0,20,0,0.248,0,5,4-7,View Bio
6,"Seibert, Lily 6 Seibert, Lily",0.171,0.525,37-31,76,13,13,7,0,1,6,23,0.303,3,2,30,0,0.222,0,0,1-1,View Bio
21,"Gardner, Megan 21 Gardner, Megan",0.333,0.772,13-8,21,4,7,1,0,0,2,8,0.381,2,0,4,0,0.391,0,0,0-1,View Bio
10/22,"Murphy, Mikyla 10/22 Murphy, Mikyla",0.262,0.619,24-14,42,5,11,1,0,0,7,12,0.286,3,2,7,0,0.333,1,0,0-1,View Bio
1,"Adams, Elle 1 Adams, Elle",0.167,0.542,29-21,6,3,1,0,0,0,0,1,0.167,0,2,2,0,0.375,0,0,1-1,View Bio
14,"Hoffman, Haley 14 Hoffman, Haley",0.143,0.286,7-1,7,1,1,0,0,0,0,1,0.143,0,0,4,0,0.143,0,0,0-0,View Bio
4,"Thomson, Abigail 4 Thomson, Abigail",0.0,0.125,11-2,7,1,0,0,0,0,0,0,0.0,1,0,2,0,0.125,0,0,0-0,View Bio
17,"Draper, Maddie 17 Draper, Maddie",0.0,0.0,30-19,2,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
,Totals,0.308,0.83,41-41,1073,209,330,66,12,24,180,492,0.459,102,13,149,2,0.371,10,17,60-69,
,Opponents,0.341,0.893,41-41,1117,257,381,73,14,20,225,542,0.485,122,9,149,3,0.408,8,25,85-95,
