Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Ajinjeru, Christine",JR-3,27.2,Iowa State Qualifier,"Mar 2, 2013",0.0
,"Ajinjeru, Christine",JR-3,27.55,Darren Young Invitational,"Feb 9, 2013",0.0
,"Clennon, Emily",JR-3,28.53,Wartburg Invite,"Feb 16, 2013",0.0
,"Jensen, Sarah",SO-2,29.19,Midwest Conference Indoor Championships,"Feb 22, 2013",0.0
,"Goldman, Elsa",SO-2,29.86,Darren Young Invitational,"Feb 9, 2013",0.0
,"Bresette-Buccino, Nora",FR-1,30.07,Darren Young Invitational,"Feb 9, 2013",0.0
,"Jensen, Sarah",SO-2,30.2,Wartburg Invite,"Feb 16, 2013",0.0
,"Jensen, Sarah",SO-2,30.51,ACM Invitational,"Feb 2, 2013",0.0
,"Zucker, Kelly",SR-4,30.52,Wartburg Invite,"Feb 16, 2013",0.0
,"Zucker, Kelly",SR-4,30.97,Midwest Conference Indoor Championships,"Feb 22, 2013",0.0
,"Carpenter, Becca",SO-2,31.6,Wartburg Invite,"Feb 16, 2013",0.0
,"Carpenter, Becca",SO-2,31.7,Darren Young Invitational,"Feb 9, 2013",0.0
