0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Hailey Speck,18,1581,81,-,9,1,3,5,+16,87.8,45,4043,89.8
Kayleigh Kresse,12,1067,84,-,7,-,3,3,+17,88.9,42,3734,88.9
Alex Plemmons,10,912,85,-,5,-,-,1,+19,91.2,48,4296,89.5
Samanike Hengst,16,1495,87,-,8,-,-,2,+21,93.4,10,944,94.4
Lauren Yi,18,1692,86,-,9,-,-,2,+22,94.0,12,1131,94.3
"Piemmons, Alex",4,393,91,-,1,-,-,-,+26,98.3,-,-,-
Emily Adam,8,881,100,-,5,-,-,-,+38,110.1,17,2070,121.8
FOUR-PLAYER TEAM,18,6557,347,-,9,1,6,13,+76,364.3,,,
