Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Young, Shannon",JR-3,11:37.04,2016 Jim Duncan Invitational,"Apr 15, 2016"
,"Young, Shannon",JR-3,11:37.12,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Young, Shannon",JR-3,11:45.27,16 Midwest Conference Championships,"May 13, 2016"
,"Androski, Antonia",SR-4,11:48.01,16 Midwest Conference Championships,"May 13, 2016"
,"Androski, Antonia",SR-4,12:04.56,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Kubica, Samantha",SR-4,12:19.56,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Kubica, Samantha",SR-4,12:23.18,16 Midwest Conference Championships,"May 13, 2016"
,"Androski, Antonia",SR-4,12:26.28,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Kubica, Samantha",SR-4,12:42.48,2016 Jim Duncan Invitational,"Apr 15, 2016"
,"Kubica, Samantha",SR-4,12:45.90,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"O'Malley, Bridget",SR-4,13:45.43,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"O'Malley, Bridget",SR-4,13:56.63,2016 Jim Duncan Invitational,"Apr 15, 2016"
