Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Neckopulos, Alex",JR-3,44.84m,"147' 1""",16 Midwest Conference Championships,"May 13, 2016"
,"Neckopulos, Alex",JR-3,44.77m,"146' 10""",16 Midwest Conference Championships,"May 13, 2016"
,"Neckopulos, Alex",JR-3,44.51m,"146' 0""",16 Midwest Conference Championships,"May 13, 2016"
,"Neckopulos, Alex",JR-3,39.27m,"128' 10""",2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Neckopulos, Alex",JR-3,37.81m,"124' 0""",2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Neckopulos, Alex",JR-3,37.53m,"123' 1""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Neckopulos, Alex",JR-3,36.54m,"119' 10""",2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Neckopulos, Alex",JR-3,35.58m,"116' 9""",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Neckopulos, Alex",JR-3,34.60m,"113' 6""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Neckopulos, Alex",JR-3,32.54m,"106' 9""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Neckopulos, Alex",JR-3,30.75m,"100' 11""",2016 Kip Janvrin Open,"Apr 28, 2016"
