Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Neckopulos, Alex",JR-3,37.22m,"122' 1""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Neckopulos, Alex",JR-3,37.12m,"121' 9""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Neckopulos, Alex",JR-3,35.56m,"116' 8""",2016 Jim Duncan Invitational,"Apr 15, 2016"
,"Neckopulos, Alex",JR-3,35.56m,"116' 8""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Neckopulos, Alex",JR-3,34.76m,"114' 0""",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Neckopulos, Alex",JR-3,34.71m,"113' 10""",Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Neckopulos, Alex",JR-3,34.60m,"113' 6""",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Neckopulos, Alex",JR-3,33.87m,"111' 1""",Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Neckopulos, Alex",JR-3,33.70m,"110' 7""",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Neckopulos, Alex",JR-3,31.82m,"104' 5""",16 Midwest Conference Championships,"May 13, 2016"
,"Neckopulos, Alex",JR-3,31.68m,"103' 11""",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Neckopulos, Alex",JR-3,28.64m,"93' 11""",2016 Cornell Outdoor Invite,"Apr 9, 2016"
