Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Fadden, Lucas",FR-1,22.09 #,Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Hiser, Alexander",SR-4,23.12 #,Grinnell Invitational,"Jan 28, 2023",NWI
,"Walcher, Kyler",SR-4,23.76 #,Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"James, Xavier",SO-2,23.95 #,Grinnell Opener,"Dec 9, 2022",NWI
,"Fitzgerald, Keaton",FR-1,24.07 #,Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Fuller, Andrew",JR-3,24.39 #,Hilltop Invitational,"Jan 21, 2023",NWI
,"Stefan, Luke",SO-2,24.42 #,Grinnell Invitational,"Jan 28, 2023",NWI
,"Milenge, Moise",FR-1,24.75 #,Grinnell Opener,"Dec 9, 2022",NWI
,"Novelle, Jack",FR-1,25.14 #,Darren Young Classic,"Feb 11, 2023",NWI
,"Reyes, Will",FR-1,25.92 #,Darren Young Classic,"Feb 11, 2023",NWI
