Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Goodell, Brian",JR-3,14:59.12 #,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Ramsey, Bradley",JR-3,15:01.79 #,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Miller, John",FR-1,15:47.87 #,Darren Young Classic,"Feb 11, 2023"
,"Krysan, Mark",SO-2,16:23.49 #,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
