0,1,2,3
Grinnell,301,21,1st
JP DeFranco,68,-2,1st
Zach McGriff,76,6,t-10th
Evan Bunis,78,8,t-14th
Carlo Morini,79,9,t-17th
Jake Van Oort,81,11,t-24th
