0,1,2,3,4,5,6
Grinnell College,329,324,325,978,114,5th
Evan Bunis,82,78,78,238,22,t-5th
Zach McGriff,81,80,79,240,24,t-8th
JP DeFranco,87,79,85,251,35,t-26th
Carlo Morini,81,87,83,251,35,t-26th
Jake Van Oort,85,87,87,259,43,t-33rd
Nirabh Koirala,86,87,91,264,48,37th
