0,1,2,3
Grinnell College,330,46,2nd
Zach McGriff,78,7,3rd
Evan Bunis,79,8,4th
JP DeFranco,84,13,8th
Nirabh Koirala,87,16,t-9th
Jake Van Oort,87,16,t-9th
