0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Wartburg Men's Fall Invite,"Sep 29-30, 2018",2,80-81=161,+17,t-20th/41
Wartburg Spring Invite,"Apr 5-6, 2019",2,84-79=163,+19,t-46th/88
Grinnell Mini-Invite,"Apr 13, 2019",1,86,+14,10th/18
Midwest Conference Championships,"May 2-4, 2019",3,83-75-81=239,+23,13th/36
SEASON TOTALS,SEASON TOTALS,8,649 Avg. 81.1,+9,-
