0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Grinnell vs. Pima Dual,"Mar 20, 2019",1,86,+14,9th/12
Eagle Spring Classic,"Mar 24-25, 2019",2,86-84=170,+26,t-30th/0
Jim Wetherbee Invite,"Mar 29-30, 2019",2,78-88=166,+22,t-59th/117
Wartburg Spring Invite,"Apr 5-6, 2019",2,79-89=168,+24,t-58th/88
Grinnell Mini-Invite,"Apr 13, 2019",1,91,+19,14th/18
Midwest Conference Championships,"May 2-4, 2019",3,82-83-86=251,+35,t-23rd/36
SEASON TOTALS,SEASON TOTALS,11,932 Avg. 84.7,+13,-
