Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/31/2018,at Coe,3-1,3,3,9,18,0.167,7,0.389,0-0,1,0-0,990
9/1/2018,vs Carleton,0-1,0,0,0,6,0.0,5,0.833,0-0,0,0-0,1001
9/9/2018,at Buena Vista,2-1,2,3,7,15,0.133,6,0.4,2-0,1,0-0,969
9/14/2018,vs Iowa Wesleyan Univer,2-0,2,2,6,13,0.154,4,0.308,2-0,1,0-0,992
9/15/2018,vs Illinois Wesleyan,0-4,0,0,0,6,0.0,5,0.833,0-0,0,0-0,991
9/18/2018,vs Simpson (IA),0-4,0,0,0,10,0.0,6,0.6,0-0,0,0-0,991
9/22/2018,at Beloit,4-2,4,5,13,14,0.286,9,0.643,1-0,1,0-0,969
9/29/2018,vs Lake Forest,1-3,1,1,3,15,0.067,10,0.667,2-0,0,0-0,990
9/30/2018,vs Lawrence,7-3,7,6,20,43,0.163,22,0.512,2-0,1,0-0,991
10/6/2018,vs Knox,2-3,2,3,7,13,0.154,5,0.385,0-0,0,0-0,990
10/13/2018,at Ripon College,4-1,4,3,11,20,0.2,15,0.75,0-0,1,0-0,990
10/14/2018,at St. Norbert College,0-2,0,0,0,3,0.0,0,0.0,2-0,0,0-0,0
10/20/2018,vs Monmouth (IL),1-0,1,2,4,24,0.042,15,0.625,0-0,1,0-0,990
10/24/2018,at Cornell College,1-2,1,1,3,12,0.083,5,0.417,1-0,0,0-0,990
10/27/2018,vs Illinois College,3-0,3,2,8,21,0.143,15,0.714,0-0,1,0-0,1011
Total,,30-27,30,31,91,233,0.129,129,0.554,12-0,8,0-0,13855
Opponent,,-,27,18,72,203,0.133,83,0.409,28-0,7,-,13807
