Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/31/2018,Coe,3-1,90:00,1,1.0,2,0.667,1,0,0,0,4
9/1/2018,Carleton,0-1,90:00,1,1.0,5,0.833,0,1,0,0,21
9/9/2018,Buena Vista,2-1,90:00,1,1.0,2,0.667,1,0,0,0,0
9/14/2018,Iowa Wesleyan Univer,2-0,90:00,0,0.75,6,1.0,1,0,0,1,14
9/15/2018,Illinois Wesleyan,0-4,90:00,4,1.4,8,0.667,0,1,0,0,25
9/18/2018,Simpson (IA),0-4,90:00,4,1.83,3,0.429,0,1,0,0,19
9/22/2018,Beloit,4-2,90:00,2,1.86,4,0.667,1,0,0,0,14
9/29/2018,Lake Forest,1-3,90:00,3,2.0,2,0.4,0,1,0,0,7
9/30/2018,Lawrence,7-3,90:00,3,2.11,1,0.25,1,0,0,0,6
10/6/2018,Knox,2-3,90:00,3,2.2,9,0.75,0,1,0,0,25
10/13/2018,Ripon College,4-1,90:00,1,2.09,3,0.75,1,0,0,0,6
10/14/2018,St. Norbert College,0-2,90:00,2,2.08,3,0.6,0,1,0,0,5
10/20/2018,Monmouth (IL),1-0,90:00,0,1.92,5,1.0,1,0,0,1,14
10/24/2018,Cornell College,1-2,90:00,2,1.93,4,0.667,0,1,0,0,12
10/27/2018,Illinois College,3-0,90:00,0,1.8,4,1.0,1,0,0,1,11
Totals,,-,1350,27,1.8,61,0.693,8,7,0,3,183
Opponent,,-,1350:00,30,2.0,100,0.769,7,8,0,4,217
