0,1,2
POINTS,12,Illinois Wesleyan (9/15/2018)
GOALS,4,Illinois Wesleyan (9/15/2018) Simpson (IA) (9/18/2018)
ASSISTS,4,Illinois Wesleyan (9/15/2018) Lawrence (9/30/2018)
SHOTS,25,Illinois Wesleyan (9/15/2018)
SHOTS ON GOAL,12,Illinois Wesleyan (9/15/2018) Knox (10/6/2018)
SAVES,15,Lawrence (9/30/2018)
FOULS,15,Buena Vista (9/9/2018) Beloit (9/22/2018)
CORNER KICKS,12,Carleton (9/1/2018)
