Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
8/31/2018,at Coe,3-1,3/1,3/0,18/5,7/3,7/3,0/2,0/0
9/1/2018,vs Carleton,0-1,0/1,0/1,6/21,5/6,4/12,0/0,0/0
9/9/2018,at Buena Vista,2-1,2/1,3/0,15/9,6/3,11/4,2/5,0/0
9/14/2018,vs Iowa Wesleyan Univer,2-0,2/0,2/0,13/14,4/6,14/3,2/3,0/0
9/15/2018,vs Illinois Wesleyan,0-4,0/4,0/4,6/25,5/12,2/6,0/5,0/0
9/18/2018,vs Simpson (IA),0-4,0/4,0/0,10/20,6/7,4/5,0/2,0/0
9/22/2018,at Beloit,4-2,4/2,5/2,14/14,9/6,3/7,1/1,0/0
9/29/2018,vs Lake Forest,1-3,1/3,1/2,15/8,10/5,5/3,2/2,0/0
9/30/2018,vs Lawrence,7-3,7/3,6/4,43/6,22/4,13/1,2/0,0/0
10/6/2018,vs Knox,2-3,2/3,3/1,13/24,5/12,5/5,0/1,0/0
10/13/2018,at Ripon College,4-1,4/1,3/0,20/6,15/4,6/1,0/2,0/0
10/14/2018,at St. Norbert College,0-2,0/2,0/2,3/14,0/0,1/3,2/4,0/0
10/20/2018,vs Monmouth (IL),1-0,1/0,2/0,24/14,15/5,7/5,0/0,0/0
10/24/2018,at Cornell College,1-2,1/2,1/2,12/12,5/6,7/5,1/1,0/0
10/27/2018,vs Illinois College,3-0,3/0,2/0,21/11,15/4,7/3,0/0,0/0
Totals,,,30/27,31/18,233/203,129/83,96/66,12/28,0/0
