#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
10,"Yang, Jasper 10Yang, Jasper",9,5,478,9,1,19,26,0.346,21,0.808,0-0,3,0-0,View Bio
14,"Goedeker, Ray 14Goedeker, Ray",9,4,439,3,4,10,23,0.13,11,0.478,0-0,1,0-0,View Bio
5,"Kobayashi, Mikoto 5Kobayashi, Mikoto",9,5,436,1,5,7,20,0.05,11,0.55,0-0,0,0-0,View Bio
6,"Reeves, Zac 6Reeves, Zac",9,9,697,1,3,5,11,0.091,10,0.909,0-0,0,0-0,View Bio
15,"Ritter, Caleb 15Ritter, Caleb",9,2,236,2,1,5,3,0.667,3,1.0,0-0,1,0-0,View Bio
11,"Sorenson, Evan 11Sorenson, Evan",8,8,497,2,0,4,19,0.105,7,0.368,1-0,0,0-0,View Bio
27,"Steinberg, Zach 27Steinberg, Zach",9,9,628,1,2,4,7,0.143,5,0.714,2-0,0,0-0,View Bio
7,"Fluharty, Noah 7Fluharty, Noah",9,5,423,0,3,3,11,0.0,6,0.545,2-0,0,0-0,View Bio
8,"Kaas, Keegan 8Kaas, Keegan",9,4,239,1,1,3,16,0.063,7,0.438,1-0,0,0-0,View Bio
17,"Naik, Sam 17Naik, Sam",9,2,363,1,0,2,8,0.125,4,0.5,0-0,0,0-0,View Bio
16,"Sorenson, Max 16Sorenson, Max",9,4,240,1,0,2,4,0.25,3,0.75,0-0,0,0-0,View Bio
9,"Buse, Kyle 9Buse, Kyle",9,7,553,0,1,1,7,0.0,3,0.429,0-0,0,0-0,View Bio
12,"Fuller, Az 12Fuller, Az",7,3,182,0,1,1,2,0.0,1,0.5,1-0,0,0-0,View Bio
4,"Pflipsen, Thomas 4Pflipsen, Thomas",9,9,684,0,1,1,1,0.0,0,0.0,1-0,0,0-0,View Bio
13,"Cladouhos, Henry 13Cladouhos, Henry",6,0,102,0,0,0,4,0.0,2,0.5,0-0,0,0-0,View Bio
1,"Cloutier, Jared 1Cloutier, Jared",9,9,692,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
19,"Colaiace, Theo 19Colaiace, Theo",4,0,40,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
29,"Djamali, Kian 29Djamali, Kian",4,0,48,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
2,"Heller, Ben 2Heller, Ben",9,5,187,0,0,0,2,0.0,1,0.5,0-0,0,0-0,View Bio
23,"Miller, Zeke 23Miller, Zeke",9,9,711,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
21,"Qureshi, Muhamm saad 21Qureshi, Muhamm saad",2,0,14,0,0,0,1,0.0,0,0.0,0-0,0,0-0,
24,"Vega, Rudy 24Vega, Rudy",4,0,32,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
TM,Team TMTeam,1,0,0,1,0,2,0,0.0,1,0.0,0-0,0,0-0,
,Total,9,-,7921,23,23,69,165,0.139,96,0.582,12-0,5,0-0,
,Opponent,9,-,7913,16,13,45,109,0.147,46,0.422,28-0,4,1-1,
