#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
1.0,"Cloutier, Jared 1Cloutier, Jared",9,9,781:46,15,1.73,34,0.694,5.0,4.0,0.0,2,96,View Bio
2.0,"Heller, Ben 2Heller, Ben",2,1,28:14,1,3.19,1,0.5,0.0,0.0,0.0,0,4,View Bio
,Total,9,-,810:00,16,1.78,35,0.686,5.0,4.0,0.0,2,100,
,Opponents,9,-,810:00,23,2.56,74,0.763,,,,1,164,
