Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/31/2018,Coe,1-3,90:00,3,3.0,4,0.571,0,1,0,0,18
9/1/2018,Carleton,1-0,90:00,0,1.5,5,1.0,1,0,0,1,6
9/9/2018,Buena Vista,1-2,90:00,2,1.67,4,0.667,0,1,0,0,0
9/14/2018,Iowa Wesleyan Univer,0-2,90:00,2,1.75,2,0.5,0,1,0,0,13
9/15/2018,Illinois Wesleyan,4-0,90:00,0,1.4,5,1.0,1,0,0,1,6
9/18/2018,Simpson (IA),4-0,90:00,0,1.17,6,1.0,1,0,0,1,10
9/22/2018,Beloit,2-4,90:00,4,1.57,5,0.556,0,1,0,0,14
9/29/2018,Lake Forest,3-1,90:00,1,1.5,9,0.9,1,0,0,0,15
9/30/2018,Lawrence,3-7,90:00,7,2.11,15,0.682,0,1,0,0,43
10/6/2018,Knox,3-2,90:00,2,2.1,3,0.6,1,0,0,0,13
10/13/2018,Ripon College,1-4,90:00,4,2.27,11,0.733,0,1,0,0,20
10/14/2018,St. Norbert College,2-0,90:00,0,2.08,1,1.0,1,0,0,1,1
10/20/2018,Monmouth (IL),0-1,90:00,1,2.0,14,0.933,0,1,0,0,24
10/24/2018,Cornell College,2-1,90:00,1,1.93,4,0.8,1,0,0,0,12
10/27/2018,Illinois College,0-3,90:00,3,2.0,12,0.8,0,1,0,0,22
Totals,,-,1350,30,2.0,100,0.769,7,8,0,4,217
Grinnell College,,-,1350:00,27,1.8,61,0.693,8,7,0,3,183
