Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/31/2018,Coe,1-3,1,0,2,5,0.2,3,0.6,2-0,0,1-1,990
9/1/2018,Carleton,1-0,1,1,3,21,0.048,6,0.286,0-0,1,0-0,991
9/9/2018,Buena Vista,1-2,1,0,2,9,0.111,3,0.333,5-0,0,0-0,949
9/14/2018,Iowa Wesleyan Univer,0-2,0,0,0,14,0.0,6,0.429,3-0,0,0-0,991
9/15/2018,Illinois Wesleyan,4-0,4,4,12,25,0.16,12,0.48,5-0,1,0-0,982
9/18/2018,Simpson (IA),4-0,4,0,8,20,0.2,7,0.35,2-0,1,1-1,991
9/22/2018,Beloit,2-4,2,2,6,14,0.143,6,0.429,1-0,0,0-0,990
9/29/2018,Lake Forest,3-1,3,2,8,8,0.375,5,0.625,2-0,1,1-1,989
9/30/2018,Lawrence,3-7,3,4,10,6,0.5,4,0.667,0-0,0,0-0,990
10/6/2018,Knox,3-2,3,1,7,24,0.125,12,0.5,1-0,1,0-0,990
10/13/2018,Ripon College,1-4,1,0,2,6,0.167,4,0.667,2-0,0,0-0,984
10/14/2018,St. Norbert College,2-0,2,2,6,14,0.143,0,0.0,4-0,1,0-0,0
10/20/2018,Monmouth (IL),0-1,0,0,0,14,0.0,5,0.357,0-0,0,0-0,990
10/24/2018,Cornell College,2-1,2,2,6,12,0.167,6,0.5,1-0,1,0-0,990
10/27/2018,Illinois College,0-3,0,0,0,11,0.0,4,0.364,0-0,0,0-0,990
Total,,27-30,27,18,72,203,0.133,83,0.409,28-0,7,3-3,13807
Grinnell College,,-,30,31,91,233,0.129,129,0.554,12-0,8,-,13855
