#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
1.0,"Cloutier, Jared 1Cloutier, Jared",15,15,1321:46,26,1.77,59,0.694,8.0,7.0,0.0,3,179,View Bio
2.0,"Heller, Ben 2Heller, Ben",2,1,28:14,1,3.19,1,0.5,0.0,0.0,0.0,0,4,View Bio
,Total,15,-,1350:00,27,1.8,60,0.69,8.0,7.0,0.0,3,183,
,Opponents,15,-,1350:00,30,2.0,100,0.769,,,,4,217,
