Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
8/31/2018,at Coe,W,3-1,(1-0),,262,Thomas Pflipsen (1) (Zac Reeves)  Ray Goedeker (1) (Max Sorenson)  Caleb Ritter (1) (Jasper Yang)
9/1/2018,vs Carleton,L,0-1,(1-1),,139,
9/9/2018,at Buena Vista,W,2-1,(2-1),,230,"Jasper Yang (1) (Noah Fluharty , Evan Sorenson)  Jasper Yang (2) (Mikoto Kobayashi)"
9/14/2018,vs Iowa Wesleyan Univer,W,2-0,(3-1-0),,86,Evan Sorenson (1) (Mikoto Kobayashi)  Jasper Yang (3) (Mikoto Kobayashi)
9/15/2018,vs Illinois Wesleyan,L,0-4,(3-2),,132,
9/18/2018,vs Simpson (IA),L,0-4,(3-3-0),,47,
9/22/2018,at Beloit,W,4-2,"(4-3-0, 1-0-0 MWC)",1-0-0 MWC,50,"Jasper Yang (4) (Zach Steinberg)  Jasper Yang (0) (Kyle Buse)  Jasper Yang (5) (Mikoto Kobayashi , Caleb Ritter)  Jasper Yang (6) (Zach Steinberg)"
9/29/2018,vs Lake Forest,L,1-3,"(4-4-0, 1-1 MWC)",1-1 MWC,127,Jasper Yang (8) (Ray Goedeker)
9/30/2018,vs Lawrence,W,7-3,"(5-4, 2-1 MWC)",2-1 MWC,73,Jasper Yang (9) (Ray Goedeker)  Evan Sorenson (2) (Ray Goedeker)  Zac Reeves (1) Ray Goedeker (2) (Mikoto Kobayashi)  Max Sorenson (1) (Keegan Kaas)  Keegan Kaas (1) (Az Fuller)  Sam Naik (1) (Thomas Pflipsen)
10/6/2018,vs Knox,L,2-3,"(5-5-0, 2-2 MWC)",2-2 MWC,56,"Ray Goedeker (3) (Zac Reeves)  Caleb Ritter (2) (Mikoto Kobayashi , Jasper Yang)"
10/13/2018,at Ripon College,W,4-1,"(6-5-0, 3-2-0 MWC)",3-2-0 MWC,121,Ray Goedeker (4) (Noah Fluharty)  Caleb Ritter (3) (Mikoto Kobayashi)  Zach Steinberg (1) (Zac Reeves)  Mikoto Kobayashi (1)
10/14/2018,at St. Norbert College,L,0-2,"(6-6, 3-3 MWC)",3-3 MWC,150,
10/20/2018,vs Monmouth (IL),W,1-0,"(7-6-0, 4-3-0 MWC)",4-3-0 MWC,47,"Jasper Yang (10) (Ray Goedeker , Noah Fluharty)"
10/24/2018,at Cornell College,L,1-2,"(7-7, 4-4 MWC)",4-4 MWC,142,Evan Sorenson (3) (Zac Reeves)
10/27/2018,vs Illinois College,W,3-0,"(8-7, 5-4 MWC)",5-4 MWC,143,Jasper Yang (11) (Noah Fluharty)  Jasper Yang (12) (Mikoto Kobayashi)  Team (0)
