0,1,2,3,4,5
Grinnell College,333,330,663,87,7th
Mallory Messin,80,78,158,14,t-13th
Elizabeth Burnett,79,81,160,16,17th
Alex Plemmons,88,82,170,26,t-37th
Natalie Klee,86,90,176,32,t-51st
Stephanie Spahr,90,89,179,35,57th
