0,1,2,3
Grinnell College,346,58,1st
Natalie Klee,83,11,t-2nd
Mallory Messin,86,14,5th
Hailey Speck,88,16,6th
Kayleigh Kresse#,89,17,t-7th
Alex Plemmons,89,17,t-7th
Elaine Teo#,89,17,t-7th
Stephanie Spahr,91,19,13th
Elizabeth Burnett,93,21,t-14th
