Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Edwards, Ronald",SR-4,23.12,Darren Young Indoor Classic,"Feb 15, 2014",0.0
,"Hardman, Ed",SO-2,23.3,2014 Midwest Conference Championships,"Feb 28, 2014",0.0
,"Hardman, Ed",SO-2,23.35,Darren Young Indoor Classic,"Feb 15, 2014",0.0
,"Edwards, Ronald",SR-4,23.74,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Hardman, Ed",SO-2,24.33,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Fulgoni, Gus",JR-3,24.35,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Warnock, Gavin",SR-4,24.52,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Braun, Johnathan",FR-1,25.16,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Gallagher, John",FR-1,25.82,2014 Midwest Conference Championships,"Feb 28, 2014",0.0
,"Gallagher, John",FR-1,25.87,Darren Young Indoor Classic,"Feb 15, 2014",0.0
,"Gallagher, John",FR-1,26.56,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Washington, Jacob",JR-3,26.71,2014 Midwest Conference Championships,"Feb 28, 2014",0.0
,"Washington, Jacob",JR-3,26.78,Wartburg Invite,"Feb 22, 2014",0.0
,"Hernandez, Luis",JR-3,26.86,Wartburg Invite,"Feb 22, 2014",0.0
,"Hernandez, Luis",JR-3,26.96,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Washington, Jacob",JR-3,27.09,Darren Young Indoor Classic,"Feb 15, 2014",0.0
,"Washington, Jacob",FR-1,27.19,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014",0.0
,"Washington, Jacob",FR-1,27.2,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Hernandez, Luis",JR-3,28.18,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014",0.0
