Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Tyler, Ben",SR-4,8:53.04,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Canady, Frank",SR-4,8:54.55,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Dalton, Adam",SO-2,8:54.89,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Dalton, Adam",SO-2,8:57.72,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Tyler, Ben",SR-4,9:01.34,Darren Young Indoor Classic,"Feb 15, 2014"
,"Angel, Zach",JR-3,9:04.19,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Canady, Frank",SR-4,9:08.13,2014 Hilltop Invite,"Feb 1, 2014"
,"McLean, Anthony",FR-1,9:09.56,Darren Young Indoor Classic,"Feb 15, 2014"
,"Mundell, Lex",SO-2,9:48.39,Wartburg Invite,"Feb 22, 2014"
,"Mundell, Lex",SO-2,9:54.57,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Mulligan, Connor",FR-1,9:58.62,Wartburg Invite,"Feb 22, 2014"
,"Estrada, Rafael",FR-1,10:05.41,Dutch Athletics Classic,"Jan 24, 2014"
,"Mulligan, Connor",FR-1,10:07.22,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Sokolsky, Sam",FR-1,10:17.93,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Healey, Aidan",FR-1,10:23.39,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Margida, Greg",SO-2,10:39.93,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Vasquez, Alberto",SO-2,11:06.91,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
