Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 3, 2002 (Tuesday)",6 pm,Away,North Central University (MN),"Minneapolis, MN",,,"W,2-0",
"September 5, 2002 (Thursday)",4:30 pm,Home,Concordia University Wisconsin,"Lake Forest, IL",,,"W,8-0",
"September 7, 2002 (Saturday)",1 pm,Away,Knox College,"Galesburg, IL",,,"W,9-1",
"September 11, 2002 (Wednesday)",4:30 pm,Home,North Park University,"Lake Forest, IL",,,"L,1-2",
"September 14, 2002 (Saturday)",1 pm,Away,Lawrence University,"Appleton, WI",,,"L,0-1",
"September 21, 2002 (Saturday)",1 pm,Away,St. Norbert College,De Pere. WI,,,"L,1-3",
"September 24, 2002 (Tuesday)",4 pm,Away,University of Chicago,"Chicago, IL",,,"L,0-5",
"September 28, 2002 (Saturday)",12 pm,Home,Carthage College,"Lake Forest, IL",,,"L,0-1",
"October 3, 2002 (Thursday)",4 pm,Away,Aurora University,"Aurora, IL",,,"L,3-5",
"October 12, 2002 (Saturday)",11 am,Away,Grinnell College,"Grinnell, IA",,,"L,1-2",
"October 13, 2002 (Sunday)",1 pm,Home,Beloit College,"Lake Forest, IL",,,"W,6-1",
"October 16, 2002 (Wednesday)",4 pm,Home,Carroll University,"Lake Forest, IL",,,"L,0-1",
"October 19, 2002 (Saturday)",1 pm,Home,Monmouth College,"Lake Forest, IL",,,"W,6-0",
"October 20, 2002 (Sunday)",11 am,Home,Illinois College,"Lake Forest, IL",,,"W,5-1",
"October 26, 2002 (Saturday)",12:30 pm,Away,University of Wisconsin-Whitewater,"Whitewater, WI",,,"L,2-7",
"November 2, 2002 (Saturday)",11 am,Home,Ripon College,"Lake Forest, IL",,,"W,3-1",
