0,1,2,3,4
,,,Low,
Season,Rounds,Strokes,Round,Average
2019-20,2.5,260,102,104.0
2020-21,4,358,86,89.5
2021-22,12,1076,78,89.7
Totals,18.5,1694,78,91.6
