Statistic,High,Opponent
AT BATS,37,UW-Superior (3/7/2020)
RUNS SCORED,14,UW-Superior (3/7/2020); UW-Superior (3/8/2020)
HITS,14,Buena Vista Univ. (3/1/2019); UW-Superior (3/7/2020); UW-Superior (3/8/2020)
RBIS,13,UW-Superior (3/7/2020); UW-Superior (3/8/2020)
DOUBLES,3,Buena Vista Univ. (3/1/2020); Buena Vista Univ. (2/29/2020)
TRIPLES,1,Buena Vista Univ. (3/1/2019); UW-Superior (3/8/2020)
HOME RUNS,5,UW-Superior (3/8/2020)
WALKS,7,UW-Superior (3/7/2020); UW-Superior (3/7/2020); Buena Vista Univ. (2/29/2020)
STRIKEOUTS,11,Buena Vista Univ. (2/29/2020)
SAC HITS,3,Buena Vista Univ. (3/1/2019)
SAC FLIES,2,UW-Superior (3/7/2020)
STOLEN BASES,4,UW-Superior (3/7/2020)
HIT BY PITCH,4,Buena Vista Univ. (2/29/2020)
CAUGHT STEALING,1,Buena Vista Univ. (3/1/2019); Buena Vista Univ. (3/1/2020); Buena Vista Univ. (2/29/2020); Buena Vista Univ. (2/29/2020); UW-Superior (3/8/2020)
HIT INTO DP,1,Buena Vista Univ. (3/1/2020); Buena Vista Univ. (2/29/2020); UW-Superior (3/8/2020); UW-Superior (3/8/2020)
