Statistic,High,Opponent
INNINGS PITCHED,9.0,UW-Superior (3/7/2020)
RUNS ALLOWED,15.0,Buena Vista Univ. (2/29/2020)
EARNED RUNS,14.0,Buena Vista Univ. (2/29/2020)
WALKS ALLOWED,7.0,Buena Vista Univ. (2/29/2020)
STRIKEOUTS,12.0,UW-Superior (3/7/2020)
HITS ALLOWED,16.0,Buena Vista Univ. (2/29/2020)
DOUBLES ALLOWED,5.0,UW-Superior (3/7/2020); Buena Vista Univ. (2/29/2020)
TRIPLES ALLOWED,2.0,Buena Vista Univ. (3/1/2020); UW-Superior (3/8/2020)
HOME RUNS ALLOWED,2.0,UW-Superior (3/7/2020); Buena Vista Univ. (2/29/2020); UW-Superior (3/8/2020); UW-Superior (3/8/2020)
WILD PITCHES,4.0,Buena Vista Univ. (2/29/2020)
HIT BATTERS,2.0,Buena Vista Univ. (3/1/2020); UW-Superior (3/7/2020)
