Statistic,High,Player,Opponent
AT BATS,5,Riley Guieb; Brock Weirather,Buena Vista Univ. (3/1/2019); UW-Superior (3/7/2020); Buena Vista Univ. (2/29/2020); UW-Superior (3/8/2020)
RUNS SCORED,4,Carson Gampell,UW-Superior (3/8/2020)
HITS,4,Carson Gampell,UW-Superior (3/7/2020); UW-Superior (3/8/2020)
RBIS,6,Chad Koehler,UW-Superior (3/8/2020)
DOUBLES,2,Carson Gampell,Buena Vista Univ. (3/1/2020)
TRIPLES,1,Jack Hager; Riley Guieb,Buena Vista Univ. (3/1/2019); UW-Superior (3/8/2020)
HOME RUNS,2,Carson Gampell,UW-Superior (3/8/2020)
WALKS,2,Jared Booth; Carson Gampell; Will Richman; Riley Guieb,UW-Superior (3/7/2020); UW-Superior (3/7/2020); Buena Vista Univ. (2/29/2020); Buena Vista Univ. (2/29/2020)
STRIKEOUTS,3,Riley Guieb; Jack Hager,UW-Superior (3/7/2020); Buena Vista Univ. (2/29/2020)
SAC HITS,3,Justin Williams,Buena Vista Univ. (3/1/2019)
SAC FLIES,2,Matthew Inaba,UW-Superior (3/7/2020)
STOLEN BASES,2,Jack Hager,Buena Vista Univ. (3/1/2019); UW-Superior (3/7/2020)
HIT BY PITCH,1,Chad Koehler; Carson Gampell; Matthew Inaba,UW-Superior (3/7/2020); UW-Superior (3/7/2020); Buena Vista Univ. (2/29/2020); Buena Vista Univ. (2/29/2020); UW-Superior (3/8/2020)
CAUGHT STEALING,1,Riley Guieb; Brock Weirather; Jared Booth; Matthew Inaba,Buena Vista Univ. (3/1/2019); Buena Vista Univ. (3/1/2020); Buena Vista Univ. (2/29/2020); Buena Vista Univ. (2/29/2020); UW-Superior (3/8/2020)
HIT INTO DP,1,Jack Gillespie; Brock Weirather; Matthew Inaba,Buena Vista Univ. (3/1/2020); Buena Vista Univ. (2/29/2020); UW-Superior (3/8/2020); UW-Superior (3/8/2020)
