Statistic,High,Player,Opponent
INNINGS PITCHED,6.0,Brock Weirather,UW-Superior (3/7/2020)
RUNS ALLOWED,8.0,Sam LaMotte,UW-Superior (3/8/2020)
EARNED RUNS,8.0,Sam LaMotte,UW-Superior (3/8/2020)
WALKS ALLOWED,4.0,Ezra Pine,Buena Vista Univ. (3/1/2019)
STRIKEOUTS,9.0,Brock Weirather,UW-Superior (3/7/2020)
HITS ALLOWED,10.0,Sam LaMotte,UW-Superior (3/8/2020)
DOUBLES ALLOWED,3.0,Ryan Jack; Sam LaMotte,UW-Superior (3/7/2020); Buena Vista Univ. (2/29/2020); UW-Superior (3/8/2020)
TRIPLES ALLOWED,2.0,Jacob Morsch; Sam LaMotte,Buena Vista Univ. (3/1/2020); UW-Superior (3/8/2020)
HOME RUNS ALLOWED,2.0,Ryan Jack; Sam LaMotte,UW-Superior (3/7/2020); UW-Superior (3/8/2020)
WILD PITCHES,2.0,Simon Lane,Buena Vista Univ. (2/29/2020)
HIT BATTERS,2.0,Brock Weirather,UW-Superior (3/7/2020)
