Player,2,3,4,5+,Total
"Gampell, Carson",2,-,-,1,3
"McNitt, Quinton",2,-,1,-,3
"Weirather, Brock",3,-,-,-,3
"Booth, Jared",1,1,-,-,2
"Inaba, Matthew",1,1,-,-,2
"Koehler, Chad",-,-,-,1,1
TEAM,9,2,1,2,14
