#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
4.0,"Gampell, Carson 4 Gampell, Carson",0.593,1.673,8-8,27,10,16,3,0,3,13,28,1.037,3,2,4,0,0.636,1,0,0-0,View Bio
36.0,"Booth, Jared 36 Booth, Jared",0.52,1.533,8-7,25,9,13,4,0,2,6,23,0.92,6,0,4,0,0.613,0,1,1-2,View Bio
10.0,"Weirather, Brock 10 Weirather, Brock",0.48,1.239,8-8,25,5,12,0,0,2,8,18,0.72,2,0,0,1,0.519,0,0,0-1,View Bio
37.0,"Inaba, Matthew 37 Inaba, Matthew",0.448,1.112,8-8,29,12,13,1,0,1,6,17,0.586,5,2,4,0,0.526,2,0,2-4,View Bio
6.0,"McNitt, Quinton 6 McNitt, Quinton",0.4,1.14,8-6,25,7,10,3,0,1,10,16,0.64,4,1,2,0,0.5,0,0,1-1,View Bio
23.0,"Koehler, Chad 23 Koehler, Chad",0.308,1.284,6-4,13,4,4,1,0,2,7,11,0.846,2,1,2,0,0.438,0,0,0-0,View Bio
3.0,"Czajkowski, Kory 3 Czajkowski, Kory",0.214,0.567,6-5,14,5,3,0,0,0,0,3,0.214,2,1,5,0,0.353,0,1,1-1,View Bio
7.0,"Guieb, Riley 7 Guieb, Riley",0.194,0.693,8-8,31,9,6,1,1,1,3,12,0.387,5,0,8,0,0.306,0,3,1-2,View Bio
12.0,"Williams, Justin 12 Williams, Justin",0.143,0.536,6-4,7,2,1,1,0,0,1,2,0.286,1,0,1,0,0.25,0,4,0-0,View Bio
11.0,"Hager, Jack 11 Hager, Jack",0.095,0.486,7-7,21,4,2,0,1,0,1,4,0.19,5,1,10,0,0.296,0,0,5-5,View Bio
27.0,"Richardson, Sean 27 Richardson, Sean",0.455,1.026,5-3,11,3,5,0,0,0,2,5,0.455,3,0,2,0,0.571,0,0,1-1,View Bio
43.0,"Gillespie, Jack 43 Gillespie, Jack",0.286,1.143,3-2,7,2,2,1,0,1,2,6,0.857,0,0,1,0,0.286,0,0,0-0,View Bio
5.0,"King, Cooper 5 King, Cooper",0.286,0.572,5-2,7,1,2,0,0,0,0,2,0.286,0,0,2,0,0.286,0,1,0-0,View Bio
18.0,"Richman, Will 18 Richman, Will",0.0,0.286,4-2,5,0,0,0,0,0,0,0,0.0,2,0,1,0,0.286,0,0,1-1,View Bio
35.0,"Bucklin, Shiva 35 Bucklin, Shiva",0.0,0.0,3-0,3,0,0,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0-0,View Bio
33.0,"Hadding, Lucas 33 Hadding, Lucas",0.0,0.0,1-0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
,Totals,0.356,1.043,8-8,250,74,89,15,2,13,59,147,0.588,40,8,48,1,0.455,3,10,13-18,
,Opponents,0.324,0.987,8-8,259,67,84,23,6,10,58,149,0.575,36,7,69,0,0.412,6,3,15-17,
