#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
10.0,"Weirather, Brock 10 Weirather, Brock",1.64,0.55,1-0,2-2,0,0-0,0,11.0,5,2,2,1,16,3,0,0,38,0.132,0,2,1,1,0,View Bio
18.0,"Richman, Will 18Richman, Will",0.0,1.5,1-0,2-0,0,0-0,0,2.0,3,0,0,0,3,1,0,0,10,0.3,0,0,0,0,0,View Bio
32.0,"Shubert, Gabriel 32 Shubert, Gabriel",0.0,2.0,0-0,1-0,0,0-0,0,1.0,2,0,0,0,2,0,0,0,5,0.4,0,0,0,0,0,View Bio
13.0,"Chang, Ryan 13 Chang, Ryan",3.37,1.5,1-0,2-0,0,0-0,0,2.2,2,2,1,2,3,1,0,0,8,0.25,0,0,0,2,0,View Bio
19.0,"Pine, Ezra 19 Pine, Ezra",5.14,2.0,0-0,2-2,0,0-0,0,7.0,8,6,4,6,9,2,0,0,31,0.258,0,1,0,0,0,View Bio
44.0,"Morsch, Jacob 44 Morsch, Jacob",6.75,2.25,0-0,1-0,0,0-0,0,1.1,2,1,1,1,0,0,2,0,5,0.4,0,1,0,1,0,View Bio
8.0,"Lu, Nate 8 Lu, Nate",7.36,2.18,0-0,2-0,0,0-0,0,3.2,7,4,3,1,6,2,0,0,20,0.35,0,0,0,0,0,View Bio
31.0,"Jack, Ryan 31Jack, Ryan",7.5,1.33,1-0,2-1,0,0-0,0,6.0,7,5,5,1,8,3,0,2,25,0.28,1,0,0,0,0,View Bio
25.0,"Dudley, Joe 25Dudley, Joe",9.0,1.75,0-0,2-0,0,0-0,0,4.0,5,4,4,2,4,1,1,0,16,0.313,1,0,0,0,1,View Bio
15.0,"Jungers, Ryan 15Jungers, Ryan",9.82,2.45,1-0,2-0,0,0-0,0,3.2,6,4,4,3,4,1,0,1,16,0.375,0,0,0,0,0,View Bio
20.0,"Bartusek, Seth 20 Bartusek, Seth",12.46,1.85,0-1,2-1,0,0-0,0,4.1,7,6,6,1,3,1,0,2,20,0.35,1,1,0,0,0,View Bio
22.0,"Lubelfeld, Daniel 22 Lubelfeld, Daniel",15.43,3.86,0-0,2-0,0,0-0,0,2.1,3,5,4,6,1,0,0,1,8,0.375,0,2,0,0,0,View Bio
16.0,"Lane, Simon 16Lane, Simon",15.75,3.0,0-1,2-0,0,0-0,0,4.0,8,8,7,4,4,2,0,1,19,0.421,2,0,0,0,0,View Bio
29.0,"LaMotte, Sam 29 LaMotte, Sam",18.0,3.0,0-0,2-2,0,0-0,0,7.0,17,14,14,4,6,6,3,3,35,0.486,1,0,0,1,2,View Bio
40.0,"Moeller, Ryan 40 Moeller, Ryan",40.5,4.5,0-0,2-0,0,0-0,0,0.2,0,3,3,3,0,0,0,0,1,0.0,2,0,0,1,0,View Bio
21.0,"Lamberty, Matthew 21Lamberty, Matthew",99.0,0.0,0-1,1-0,0,0-0,0,0.0,2,3,3,1,0,0,0,0,2,1.0,0,0,0,0,0,View Bio
,Totals,9.05,1.99,5-3,29-8,0,0,0,60.2,84,67,61,36,69,23,6,10,259,0.324,8,7,1,6,3,
,Opponents,8.75,2.18,3-5,25-8,0,0,1,59.2,89,74,58,40,48,15,2,13,250,0.356,12,8,3,3,10,
