Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Carchidi, Eva",FR-1,26.93,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Edassery, Sonia",JR-3,26.95,Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Frasca, Athena",SR-4,27.48,Grinnell Opener,"Dec 9, 2022",NWI
,"Crowe, Maile",SO-2,28.01,Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Staker, Sadie",JR-3,29.13,Darren Young Classic,"Feb 11, 2023",NWI
,"Kaczmarczyk, Crystal",SO-2,29.38,Grinnell Invitational,"Jan 28, 2023",NWI
,"Voinescu, Isa",FR-1,29.99,Darren Young Classic,"Feb 11, 2023",NWI
,"Ong, Caitlin",FR-1,30.42,Hilltop Invitational,"Jan 21, 2023",NWI
,"Goodman, Jessie",FR-1,31.04,Darren Young Classic,"Feb 11, 2023",NWI
,"Natalie, Alexandra",FR-1,34.77,Grinnell Invitational,"Jan 28, 2023",NWI
,"Nassoko, Sira",FR-1,35.89,Grinnell Opener,"Dec 9, 2022",NWI
