Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Miller, Isabelle",,30.94m,"101' 6""",Monmouth Scots Invite,"May 7, 2011"
,"Huey, Megan",,30.64m,"100' 6""",Monmouth Scots Invite,"May 7, 2011"
,"Young, Jordan",,28.74m,"94' 3""",Dick Young Classic,"Apr 23, 2011"
,"Kubicek, Heather",,22.23m,"72' 11""",Dick Young Classic,"Apr 23, 2011"
