Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 21, 2024 (Wednesday)",5:00 PM,Home,Rose-Hulman (exhibition),"Jacksonville, Ill./England Stadium",,,,History
"August 24, 2024 (Saturday)",5:00 PM,Home,Webster University (exhibition),"Jacksonville, Ill./England Stadium",,,,WatchHistory
"September 1, 2024 (Sunday)",1:00 PM,Home,Nebraska Wesleyan University,"Jacksonville, Ill./England Stadium",,,"W,1-0",Box ScoreRecap
"September 4, 2024 (Wednesday)",7:00 PM,Home,Augustana College (IL),"Jacksonville, Ill./England Stadium",,,"T,1-1",Box ScoreRecap
"September 5, 2024 (Thursday)",7:00 PM,Away,Principia College,"Elsah, Ill.",,,"W,2-0",Box ScoreRecap
"September 10, 2024 (Tuesday)",4:30 PM,Away,Blackburn College,"Carlinville, Ill.",,,"W,11-0",Box ScoreRecap
"September 12, 2024 (Thursday)",7:00 PM,Home,Great Lakes College,"Jacksonville, Ill./England Stadium",,,"W,2-0",Box ScoreRecap
"September 14, 2024 (Saturday)",1:00 PM,Home,Buena Vista University,"Jacksonville, Ill./England Stadium",,,"W,7-0",Box ScoreRecap
"September 17, 2024 (Tuesday)",7:00 PM,Home,Millikin University,"Jacksonville, Ill./England Stadium",,,"L,2-4",Box ScoreRecap
"September 21, 2024 (Saturday)",12:00 PM,Away,Faith Baptist Bible College,"Ankeny, Iowa",,,"W,3-1",Box ScoreRecap
"September 22, 2024 (Sunday)",2:00 PM,Away,Central College,"Pella, Iowa",,,"L,0-3",Box ScoreRecap
"September 25, 2024 (Wednesday)",7:00 PM,Away,Stephens College (Mo.),"Columbia, Mo.",,,"W,2-0",Box ScoreRecap
"September 28, 2024 (Saturday)",1:30 PM,Home,Ripon College,"Jacksonville, Ill./England Stadium",,,"T,1-1",Box ScoreRecap
"October 1, 2024 (Tuesday)",7:00 PM,Home,University of Health Sciences & Pharmacy in St. Louis,"Jacksonville, Ill./England Stadium",,,"W,3-2",Box ScoreRecap
"October 8, 2024 (Tuesday)",4:00 PM,Away,Knox College,"Galesburg, Ill.",,,"T,0-0",Box ScoreRecap
"October 12, 2024 (Saturday)",1:30 PM,Home,Grinnell College,"Jacksonville, Ill./England Stadium",,,"L,0-1",Box ScoreRecap
"October 16, 2024 (Wednesday)",3:30 PM,Away,Monmouth College,"Monmouth, Ill.",,,"W,2-1",Box ScoreRecap
"October 19, 2024 (Saturday)",1:30 PM,Away,Lawrence University,"Appleton, Wis.",,,"L,1-2",Box ScoreRecap
"October 26, 2024 (Saturday)",7:00 PM,Home,Lake Forest College,"Jacksonville, Ill./England Stadium",,,"L,1-4",Box ScoreRecap
"October 31, 2024 (Thursday)",4:00 PM,Away,Cornell College,"Mount Vernon, Iowa",,,"W,3-1",Box ScoreRecap
"November 2, 2024 (Saturday)",1:30 PM,Home,Beloit College,"Jacksonville, Ill./England Stadium",,,"L,0-1",Box ScoreRecap
