Unnamed: 0,Time,Athletes,Meet,Meet Date
,4:26.00,"Young, Maddaus, Teagle, Holtzman",Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,4:29.69,"Maddaus, Young, Holtzman, Teagle",Wartburg Indoor Invite,"Feb 20, 2016"
,4:36.67,"Bresette-Buccin, Bresnahan, Riley, Holtzman",2016 Hilltop Invitational,"Jan 30, 2016"
,4:45.24,"Holtzman, Bresette-Buccin, Schmiechen, Foulkes",Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
,4:46.43,"Riley, Foulkes, Schmiechen, Holtzman",Grinnell Indoor Invitational,"Feb 6, 2016"
,4:52.46,"Teagle, Schmiechen, Foulkes, Maddaus",2016 Hilltop Invitational,"Jan 30, 2016"
