Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 3, 2011 (Saturday)",2 p.m.,Away,Cornell College,"Mount Vernon, IA",,,,"W,2-1",Game Stats
"September 4, 2011 (Sunday)",3 p.m.,Away,Coe College,"Cedar Rapids, IA",,,,"L,0-1",Game Stats
"September 10, 2011 (Saturday)",4 p.m.,Neutral,University of St. Mary,"Oskaloosa, IA",,,,"W,3-1",Game Stats
"September 11, 2011 (Sunday)",4 p.m.,Away,William Penn University (Iowa),"Oskaloosa, IA",,,,"T,0-0",Game Stats
"September 13, 2011 (Tuesday)",4:30 p.m.,Home,MacMurray College,"Jacksonville, IL",,,,"W,6-2",Game Stats
"September 17, 2011 (Saturday)",2 p.m.,Away,Anderson University (IN),"Anderson, IN",,,,"T,1-1",Game Stats
"September 18, 2011 (Sunday)",1 p.m.,Away,Franklin College,"Franklin, IN",,,,"L,0-3",Game Stats
"September 24, 2011 (Saturday)",3:30 p.m.,Away,Lake Forest College,"Lake Forest, IL",,,,"L,0-4",Game Stats
"September 28, 2011 (Wednesday)",4 p.m.,Away,Eureka College,"Eureka, IL",,,,"W,3-0",Game Stats
"October 1, 2011 (Saturday)",11 a.m.,Away,Ripon College,"Ripon, WI",,,,"T,0-0",Game Stats
"October 4, 2011 (Tuesday)",3 p.m.,Home,Monmouth College,"Jacksonville, IL",,,Play for the Cure,"L,0-3",Game Stats
"October 9, 2011 (Sunday)",11 a.m.,Home,Carroll University,"Jacksonville, IL",,,Play for the Cure,"L,0-2",Game Stats
"October 13, 2011 (Thursday)",3:30 p.m.,Home,Robert Morris University Springfield,"Jacksonville, IL",,,,"W,9-0",Game Stats
"October 15, 2011 (Saturday)",1 p.m.,Home,Grinnell College,"Jacksonville, IL",,,,"W,1-0",Game Stats
"October 22, 2011 (Saturday)",1 p.m.,Away,St. Norbert College,De Pere. WI,,,,"W,3-1",Game Stats
"October 23, 2011 (Sunday)",1:30 p.m.,Away,Beloit College,"Beloit, WI",,,,"L,1-2",Game Stats
"October 26, 2011 (Wednesday)",3:30 p.m.,Away,Knox College,"Galesburg, IL",,,,"W,1-0",Game Stats
"October 30, 2011 (Sunday)",1:30 p.m.,Home,Lawrence University,"Jacksonville, IL",,,,"L,1-3",Game Stats
