Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Fadden, Lucas",FR-1,21.77,Midwest Conference Outdoor Championships,"May 12, 2023",-1.4
,"Fadden, Lucas",FR-1,21.99,Midwest Conference Outdoor Championships,"May 12, 2023",-2.5
,"Fadden, Lucas",FR-1,22.02,Augustana College Midwest Twilight Qualifier,"May 18, 2023",0.0
,"Fadden, Lucas",FR-1,22.06,D3 Challenge,"Mar 25, 2023",2.0
,"Fadden, Lucas",FR-1,22.69,Rittgers Invitational,"Apr 7, 2023",-0.8
,"Fadden, Lucas",FR-1,22.69,Dick Young Classic,"Apr 22, 2023",0.5
,"Saldanha, John Michael",FR-1,22.86,D3 Challenge,"Mar 25, 2023",0.7
,"Saldanha, John Michael",FR-1,23.16,Midwest Conference Outdoor Championships,"May 12, 2023",-1.2
,"Walcher, Kyler",JR-3,23.74,Mustang Open,"Apr 1, 2023",2.0
,"Hiser, Alexander",JR-3,23.8,Rittgers Invitational,"Apr 7, 2023",-0.8
,"Novelle, Jack",FR-1,23.92,D3 Challenge,"Mar 25, 2023",0.7
,"Walcher, Kyler",JR-3,23.92,Rittgers Invitational,"Apr 7, 2023",-0.9
,"Fuller, Andrew",JR-3,23.98,Rittgers Invitational,"Apr 7, 2023",-0.9
,"Fornari, Luca",SO-2,23.99,D3 Challenge,"Mar 25, 2023",0.7
,"Saldanha, John Michael",FR-1,24.02,Norse Invite,"Apr 15, 2023",-1.0
,"Walcher, Kyler",JR-3,24.29,Dick Young Classic,"Apr 22, 2023",0.5
,"Novelle, Jack",FR-1,24.5,Rittgers Invitational,"Apr 7, 2023",1.2
,"Fornari, Luca",SO-2,24.59,Mustang Open,"Apr 1, 2023",1.4
,"Milenge, Moise",FR-1,24.89,Midwest Conference Outdoor Championships,"May 12, 2023",-1.2
,"Milenge, Moise",FR-1,25.19,2023 Kip Janvrin Open,"Apr 27, 2023",1.4
,"Gilbert, Aiden",SO-2,26.02,Dick Young Classic,"Apr 22, 2023",0.5
