Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"James, Xavier",SO-2,16.8,Midwest Conference Outdoor Championships,"May 12, 2023",-1.0
,"James, Xavier",SO-2,17.14,2023 Kip Janvrin Open,"Apr 27, 2023",0.4
,"James, Xavier",SO-2,17.22,Norse Invite,"Apr 15, 2023",0.0
,"James, Xavier",SO-2,17.24,Midwest Conference Outdoor Championships,"May 12, 2023",1.8
,"James, Xavier",SO-2,17.54,Dick Young Classic,"Apr 22, 2023",1.7
,"James, Xavier",SO-2,17.93,Rittgers Invitational,"Apr 7, 2023",-3.6
