Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Clawson, Ian",FR-1,49.36m,"161' 11""",Dick Young Classic,"Apr 22, 2023"
,"Clawson, Ian",FR-1,49.02m,"160' 10""",Rittgers Invitational,"Apr 7, 2023"
,"Clawson, Ian",FR-1,48.96m,"160' 7""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Clawson, Ian",FR-1,48.57m,"159' 4""",Dick Young Classic,"Apr 22, 2023"
,"Clawson, Ian",FR-1,48.51m,"159' 2""",Midwest Conference Outdoor Championships,"May 12, 2023"
,"Clawson, Ian",FR-1,48.19m,"158' 1""",D3 Challenge,"Mar 25, 2023"
,"Clawson, Ian",FR-1,47.94m,"157' 3""",SMU Cardinal Invitational,"Apr 15, 2023"
,"Clawson, Ian",FR-1,47.74m,"156' 7""",Rittgers Invitational,"Apr 7, 2023"
,"Richter, Theo",SO-2,47.70m,"156' 6""",Dick Young Classic,"Apr 22, 2023"
,"Clawson, Ian",FR-1,47.70m,"156' 6""",Rittgers Invitational,"Apr 7, 2023"
,"Clawson, Ian",FR-1,47.69m,"156' 5""",D3 Challenge,"Mar 25, 2023"
,"Clawson, Ian",FR-1,47.65m,"156' 4""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Clawson, Ian",FR-1,47.61m,"156' 2""",D3 Challenge,"Mar 25, 2023"
,"Clawson, Ian",FR-1,47.59m,"156' 2""",Dick Young Classic,"Apr 22, 2023"
,"Clawson, Ian",FR-1,47.59m,"156' 2""",Midwest Conference Outdoor Championships,"May 12, 2023"
,"Clawson, Ian",FR-1,47.51m,"155' 10""",2023 Kip Janvrin Open,"Apr 27, 2023"
,"Clawson, Ian",FR-1,47.46m,"155' 8""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Clawson, Ian",FR-1,47.23m,"154' 11""",2023 Kip Janvrin Open,"Apr 27, 2023"
,"Richter, Theo",SO-2,46.64m,"153' 0""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Richter, Theo",SO-2,46.53m,"152' 8""",Dick Young Classic,"Apr 22, 2023"
,"Clawson, Ian",FR-1,46.38m,"152' 2""",SMU Cardinal Invitational,"Apr 15, 2023"
