Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Bresnahan, Cara",JR-3,4.69m,"15' 4.75""",Midwest Conference Indoor Championships,"Feb 23, 2018",0.0
,"Bresnahan, Cara",JR-3,4.62m,"15' 2""",Midwest Conference Indoor Championships,"Feb 23, 2018",0.0
,"Bresnahan, Cara",JR-3,4.51m,"14' 9.75""",Wartburg Indoor Invitational,"Feb 17, 2018",0.0
,"Bresnahan, Cara",JR-3,4.40m,"14' 5.25""",Wartburg Indoor Invitational,"Feb 17, 2018",0.0
,"Bresnahan, Cara",JR-3,4.38m,"14' 4.5""",Wartburg Indoor Invitational,"Feb 17, 2018",0.0
,"Bresnahan, Cara",JR-3,4.25m,"13' 11.5""",2018 Darren Young Indoor Classic,"Feb 10, 2018",0.0
,"Bresnahan, Cara",JR-3,4.23m,"13' 10.5""",2018 Hilltop Invitational,"Jan 27, 2018",0.0
,"Bresnahan, Cara",JR-3,4.18m,"13' 8.75""",2018 Hilltop Invitational,"Jan 27, 2018",0.0
,"Bresnahan, Cara",JR-3,4.10m,"13' 5.5""",2018 Hilltop Invitational,"Jan 27, 2018",0.0
,"Bresnahan, Cara",JR-3,3.98m,"13' 0.75""",2018 Hilltop Invitational,"Jan 27, 2018",0.0
