Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Lieberman, Matthew",FR-1,4:30.84,2018 Grinnell Indoor Invitational,"Feb 3, 2018"
,"Baumann, Joel",SR-4,4:34.22,Wartburg Indoor Invitational,"Feb 17, 2018"
,"Lieberman, Matthew",FR-1,4:34.97,Wartburg Indoor Invitational,"Feb 17, 2018"
,"Gregorich-Trevor, Connor",SR-4,4:35.05,Midwest Conference Indoor Championships,"Feb 23, 2018"
,"Gregorich-Trevor, Connor",SR-4,4:37.91,Wartburg Indoor Invitational,"Feb 17, 2018"
,"Baumann, Joel",SR-4,4:40.32,2018 Darren Young Indoor Classic,"Feb 10, 2018"
,"Gregorich-Trevor, Connor",SR-4,4:41.95,2018 Darren Young Indoor Classic,"Feb 10, 2018"
,"Gregorich-Trevor, Connor",SR-4,4:42.60,2018 Grinnell Indoor Invitational,"Feb 3, 2018"
,"Baumann, Joel",SR-4,4:43.81,2018 Hilltop Invitational,"Jan 27, 2018"
,"Chamberland, Lucas",FR-1,4:44.24,2018 Grinnell Indoor Invitational,"Feb 3, 2018"
,"Gregorich-Trevor, Connor",SR-4,4:47.84,2018 Hilltop Invitational,"Jan 27, 2018"
,"Bass, Stewart",SR-4,4:49.87,Midwest Conference Indoor Championships,"Feb 23, 2018"
,"Bass, Stewart",SR-4,4:51.21,Wartburg Indoor Invitational,"Feb 17, 2018"
,"Bass, Stewart",SR-4,4:53.68,2018 Hilltop Invitational,"Jan 27, 2018"
,"Lorch, Robert",FR-1,4:59.00,Wartburg Indoor Invitational,"Feb 17, 2018"
,"Midlash, Nicholas",FR-1,4:59.39,2018 Darren Young Indoor Classic,"Feb 10, 2018"
,"Malone, Ian",SR-4,5:02.75,Wartburg Indoor Invitational,"Feb 17, 2018"
,"Lorch, Robert",FR-1,5:07.03,2018 Darren Young Indoor Classic,"Feb 10, 2018"
,"Malone, Ian",SR-4,5:07.60,2018 Darren Young Indoor Classic,"Feb 10, 2018"
,"Malone, Ian",SR-4,5:07.75,2018 Grinnell Indoor Invitational,"Feb 3, 2018"
,"Midlash, Nicholas",FR-1,5:09.90,2018 Hilltop Invitational,"Jan 27, 2018"
,"Malone, Ian",SR-4,5:10.22,2018 Hilltop Invitational,"Jan 27, 2018"
,"Lorch, Robert",FR-1,5:11.88,2018 Grinnell Indoor Invitational,"Feb 3, 2018"
,"Lorch, Robert",FR-1,5:12.85,2018 Hilltop Invitational,"Jan 27, 2018"
,"Kane, Phillip",SR-4,5:29.07,Midwest Conference Indoor Championships,"Feb 23, 2018"
,"Kane, Phillip",SR-4,5:34.01,Wartburg Indoor Invitational,"Feb 17, 2018"
,"Kane, Phillip",SR-4,5:35.02,2018 Darren Young Indoor Classic,"Feb 10, 2018"
,"Kane, Phillip",SR-4,5:46.75,2018 Hilltop Invitational,"Jan 27, 2018"
,"Markegard, Carter",FR-1,6:08.24,Wartburg Indoor Invitational,"Feb 17, 2018"
,"Markegard, Carter",FR-1,6:22.80,2018 Darren Young Indoor Classic,"Feb 10, 2018"
,"Markegard, Carter",FR-1,6:27.89,2018 Grinnell Indoor Invitational,"Feb 3, 2018"
,"Markegard, Carter",FR-1,6:33.56,2018 Hilltop Invitational,"Jan 27, 2018"
