Unnamed: 0,Time,Athletes,Meet,Meet Date
,4:07.92,"Edassery, Olowu, Staker, Frasca",Midwest Conference Outdoor Championship,"May 13, 2022"
,4:15.83,"Frasca, Carchidi, Olowu, Crowe",Emory Thrills in the Hills Open,"Mar 25, 2022"
,4:16.29,"Olowu, Crowe, Reid, Frasca",Mustang Open,"Apr 9, 2022"
,4:16.72,"Olowu, Crowe, Carchidi, Frasca",Dick Young Invitational,"Apr 23, 2022"
,4:27.00,"Staker, Edassery, Reid, Elliott-Rude",2022 Kip Janvrin Open,"Apr 28, 2022"
,4:37.33,"Staker, Reid, Keane, Rabbani",Dick Young Invitational,"Apr 23, 2022"
,4:41.72,"Daney, Keane, Klassen, Rabbani",2022 Kip Janvrin Open,"Apr 28, 2022"
,4:57.14,"Daney, Rabbani, Klassen, Ford",Emory Thrills in the Hills Open,"Mar 25, 2022"
,4:58.92,"DonTigny, Timmermans, Ford, Klassen",Mustang Open,"Apr 9, 2022"
